Kategori;Kategori Adı;Kategori Adı ENG
01;Afiş İlan Taşıyıcı Çerçeveler & Standlar;Showcard Frames and Stand Sets
02;Etiket ve İlan Tutucular;Label & Price Holders
03;Fiyat Kasetleri;Price Cassettes
04;Raf Profilleri;Shelf Datastrips
05;İtici ve Bölücüler;Shelf Pushers & Dividers
06;Raf Önü Ürünleri;Front Shelf Solutions
07;Mağaza İçi İletişim;In-Store Communication Accessories
08;Mağaza Ekipmanları;Store Equipments
09;İlan Askı Çözümleri;Ceiling Solutions
10;Güvenlik & HL Display;EAS & HL Displayy
11;ESL Sabitleme Çözümleri;ESL Fixing Solutions
;;
Alt Kategori;Alt Kategori Adı;Alt Kategori Adı ENG
01.1;Çerçeveler;Showcard Frames
01.2;Setler;Sets
01.3;Manyetik Çözümler;Magnetic Solutions
01.4;Aksesuarlar;Accessories
01.5;Çerçeve Askı Aksesuarları;Showcard Accessories
01.6;Özel;Custom
01.7;Pano ve Stand;Boards & Aluminum Frames
02.1;Etiket Tutucu Setler;Label Holder Sets
02.2;Diğer;Other
03.1;Fiyat Kasetleri;Price Cassettes
03.2;Kaset Taşıyıcılar;Cassette Holders
03.3;Aksesuarlar;Accessories
04.1;Profiller;Datastrips
04.2;Tel Askı Profiller;Wire Holder Profiles
04.3;Aksesuarlar;Accessories
05.1;Bölücüler;Shelf Dividers
05.2;İticiler;Shelf Pushers
05.3;Yardımcı Aksesuarlar;Accessories
06.1;Çapraz Satış;Cross Merchandising
06.2;Grip;Grippers
06.3;Aksesuarlar;Accessories
06.4;Özel;Custom
07.1;Tekstil;Textile
07.2;Ürün Teşhir Standları;Product Presentation Stands
07.3;Tanıtım ve Etiketlik Ürünleri;Product Labeling Solutions
08.0;Mağaza Ekipmanları;Store Equipments
09.1;Tavan Sistemleri;Ceiling Systems
09.2;Taban Sistemleri;Ground Systems
09.3;Aksesuarlar;Accessories
10.1;HL Display;HL Display
10.2;Ürün Güvenliği;EAS
11.1;Imago;Imago
11.2;SoluM;SoluM
11.3;ESL Raf Profilleri;ESL Fixing
11.4;Aksesuarlar;Accessories
