Canias Kod;Varyans-TR;Varyans-EN;Ana Ürün-TR;Ana Ürün - EN;Moq;Paket Adedi;Status;Kategori;Ana Ürün Kodu;Ürün Kısa Kodu;Katalog ID;Katalog Sayfa Numarası;;;;;;;;;;
04.01.301;A3 PLASTİK ÇERÇEVE SEF;Plastic Frame A3 Transparent;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101001;0;;;;;;;;;;
04.01.302;A3 PLASTİK ÇERÇEVE SIY;Plastic Frame A3 Black;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101002;0;;;;;;;;;;
04.01.303;A3 PLASTİK ÇERÇEVE BEY;Plastic Frame A3 White;PLASTİK ÇERÇEVE;Plastic Frame;1000;10;A;01.1;01;01101;01101003;0;;;;;;;;;;
04.01.304;A3 PLASTİK ÇERÇEVE KIR;Plastic Frame A3 Red;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101004;0;;;;;;;;;;
04.01.305;A3 PLASTİK ÇERÇEVE MAV;Plastic Frame A3 Blue;PLASTİK ÇERÇEVE;Plastic Frame;1000;10;A;01.1;01;01101;01101005;0;;;;;;;;;;
04.01.306;A3 PLASTİK ÇERÇEVE SAR;Plastic Frame A3 Yellow;PLASTİK ÇERÇEVE;Plastic Frame;1000;10;A;01.1;01;01101;01101006;0;;;;;;;;;;
04.01.307;A3 PLASTİK ÇERÇEVE YES;Plastic Frame A3 Green;PLASTİK ÇERÇEVE;Plastic Frame;1000;10;A;01.1;01;01101;01101007;0;;;;;;;;;;
04.01.308;A3 PLASTİK ÇERÇEVE TUR;Plastic Frame A3 Orange;PLASTİK ÇERÇEVE;Plastic Frame;1000;10;A;01.1;01;01101;01101008;0;;;;;;;;;;
04.01.309;A3 PLASTİK ÇERÇEVE GRI;Plastic Frame A3 Gray;PLASTİK ÇERÇEVE;Plastic Frame;1000;10;A;01.1;01;01101;01101009;0;;;;;;;;;;
04.01.401;A4 PLASTİK ÇERÇEVE SEF;Plastic Frame A4 Transparent;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101010;0;;;;;;;;;;
04.01.402;A4 PLASTİK ÇERÇEVE SIY;Plastic Frame A4 Black;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101011;0;;;;;;;;;;
04.01.403;A4 PLASTİK ÇERÇEVE BEY;Plastic Frame A4 White;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101012;0;;;;;;;;;;
04.01.404;A4 PLASTİK ÇERÇEVE KIR;Plastic Frame A4 Red;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101013;0;;;;;;;;;;
04.01.405;A4 PLASTİK ÇERÇEVE MAV;Plastic Frame A4 Blue;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101014;0;;;;;;;;;;
04.01.406;A4 PLASTİK ÇERÇEVE SAR;Plastic Frame A4 Yellow;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101015;0;;;;;;;;;;
04.01.407;A4 PLASTİK ÇERÇEVE YES;Plastic Frame A4 Green;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101016;0;;;;;;;;;;
04.01.408;A4 PLASTİK ÇERÇEVE TUR;Plastic Frame A4 Orange;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101017;0;;;;;;;;;;
04.01.409;A4 PLASTİK ÇERÇEVE GRI;Plastic Frame A4 Gray;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101018;0;;;;;;;;;;
04.01.501;A5 PLASTİK ÇERÇEVE SEF;Plastic Frame A5 Transparent;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101019;0;;;;;;;;;;
04.01.502;A5 PLASTİK ÇERÇEVE SIY;Plastic Frame A5 Black;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101020;0;;;;;;;;;;
04.01.503;A5 PLASTİK ÇERÇEVE BEY;Plastic Frame A5 White;PLASTİK ÇERÇEVE;Plastic Frame;1000;10;A;01.1;01;01101;01101021;0;;;;;;;;;;
04.01.504;A5 PLASTİK ÇERÇEVE KIR;Plastic Frame A5 Red;PLASTİK ÇERÇEVE;Plastic Frame;0;10;A;01.1;01;01101;01101022;0;;;;;;;;;;
04.01.505;A5 PLASTİK ÇERÇEVE MAV;Plastic Frame A5 Blue;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101023;0;;;;;;;;;;
04.01.506;A5 PLASTİK ÇERÇEVE SAR;Plastic Frame A5 Yellow;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101024;0;;;;;;;;;;
04.01.507;A5 PLASTİK ÇERÇEVE YES;Plastic Frame A5 Green;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101025;0;;;;;;;;;;
04.01.508;A5 PLASTİK ÇERÇEVE TUR;Plastic Frame A5 Orange;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101026;0;;;;;;;;;;
04.01.509;A5 PLASTİK ÇERÇEVE GRI;Plastic Frame A5 Gray;PLASTİK ÇERÇEVE;Plastic Frame;3000;10;A;01.1;01;01101;01101027;0;;;;;;;;;;
